stop_id,stop_name,stop_code,stop_lat,stop_lon,location_type,wheelchair_boarding,public_visible,region_id,parish_id,municipality_id
1,Cacilhas,1,38.68755,-9.147383,0,1,1,PT170,150306,1503
2,25 de Abril,2,38.684353,-9.149702,0,1,1,PT170,150306,1503
3,Gil Vicente,3,38.682497,-9.152278,0,1,1,PT170,150301,1503
4,São João Baptista,4,38.679487,-9.157616,0,1,1,PT170,150301,1503
5,Almada,5,38.676626,-9.164275,0,1,1,PT170,150301,1503
6,Bento Gonçalves,6,38.673331,-9.166615,0,1,1,PT170,150301,1503
7,Cova da Piedade,7,38.667700,-9.164807,0,1,1,PT170,150304,1503
8,Parque da Paz,8,38.664363,-9.160010,0,1,1,PT170,150310,1503
9,António Gedeão,9,38.660526,-9.157317,0,1,1,PT170,150310,1503
10,Laranjeiro,10,38.655838,-9.154379,0,1,1,PT170,150310,1503
11,Santo Amaro,11,38.648527,-9.153127,0,1,1,PT170,150310,1503
12,Casa do Povo,12,38.642494,-9.151785,0,1,1,PT170,151005,1510
13,Corroios,13,38.637121,-9.150989,0,1,1,PT170,151005,1510
15,Ramalha,15,38.668950,-9.170148,0,1,1,PT170,150307,1503
16,Pragal,16,38.666227,-9.179982,0,1,1,PT170,150307,1503
17,Boa Esperança,17,38.663951,-9.190353,0,1,1,PT170,150302,1503
18,Fomega,18,38.665531,-9.193992,0,1,1,PT170,150302,1503
19,Monte de Caparica,19,38.664534,-9.200286,0,1,1,PT170,150302,1503
20,Universidade,20,38.663622,-9.207173,0,1,1,PT170,150302,1503
