"trip_id","arrival_time","departure_time","stop_id","stop_sequence"
"0_Linha1_Cacilhas_Uteis_Trip001","05:15:00","05:15:00",13,1
"0_Linha1_Cacilhas_Uteis_Trip001","05:17:00","05:17:00",12,2
"0_Linha1_Cacilhas_Uteis_Trip001","05:18:00","05:18:00",11,3
"0_Linha1_Cacilhas_Uteis_Trip001","05:20:00","05:20:00",10,4
"0_Linha1_Cacilhas_Uteis_Trip001","05:22:00","05:22:00",9,5
"0_Linha1_Cacilhas_Uteis_Trip001","05:23:00","05:23:00",8,6
"0_Linha1_Cacilhas_Uteis_Trip001","05:25:00","05:25:00",7,7
"0_Linha1_Cacilhas_Uteis_Trip001","05:27:00","05:27:00",6,8
"0_Linha1_Cacilhas_Uteis_Trip001","05:28:00","05:28:00",5,9
"0_Linha1_Cacilhas_Uteis_Trip001","05:29:00","05:29:00",4,10
"0_Linha1_Cacilhas_Uteis_Trip001","05:31:00","05:31:00",3,11
"0_Linha1_Cacilhas_Uteis_Trip001","05:32:00","05:32:00",2,12
"0_Linha1_Cacilhas_Uteis_Trip001","05:34:00","05:34:00",1,13
"0_Linha1_Cacilhas_Uteis_Trip002","05:45:00","05:45:00",13,1
"0_Linha1_Cacilhas_Uteis_Trip002","05:47:00","05:47:00",12,2
"0_Linha1_Cacilhas_Uteis_Trip002","05:48:00","05:48:00",11,3
"0_Linha1_Cacilhas_Uteis_Trip002","05:50:00","05:50:00",10,4
"0_Linha1_Cacilhas_Uteis_Trip002","05:52:00","05:52:00",9,5
"0_Linha1_Cacilhas_Uteis_Trip002","05:53:00","05:53:00",8,6
"0_Linha1_Cacilhas_Uteis_Trip002","05:55:00","05:55:00",7,7
"0_Linha1_Cacilhas_Uteis_Trip002","05:57:00","05:57:00",6,8
"0_Linha1_Cacilhas_Uteis_Trip002","05:58:00","05:58:00",5,9
"0_Linha1_Cacilhas_Uteis_Trip002","05:59:00","05:59:00",4,10
"0_Linha1_Cacilhas_Uteis_Trip002","06:01:00","06:01:00",3,11
"0_Linha1_Cacilhas_Uteis_Trip002","06:02:00","06:02:00",2,12
"0_Linha1_Cacilhas_Uteis_Trip002","06:04:00","06:04:00",1,13
"0_Linha1_Cacilhas_Uteis_Trip003","06:00:00","06:00:00",13,1
"0_Linha1_Cacilhas_Uteis_Trip003","06:02:00","06:02:00",12,2
"0_Linha1_Cacilhas_Uteis_Trip003","06:03:00","06:03:00",11,3
"0_Linha1_Cacilhas_Uteis_Trip003","06:05:00","06:05:00",10,4
"0_Linha1_Cacilhas_Uteis_Trip003","06:07:00","06:07:00",9,5
"0_Linha1_Cacilhas_Uteis_Trip003","06:08:00","06:08:00",8,6
"0_Linha1_Cacilhas_Uteis_Trip003","06:10:00","06:10:00",7,7
"0_Linha1_Cacilhas_Uteis_Trip003","06:12:00","06:12:00",6,8
"0_Linha1_Cacilhas_Uteis_Trip003","06:13:00","06:13:00",5,9
"0_Linha1_Cacilhas_Uteis_Trip003","06:14:00","06:14:00",4,10
"0_Linha1_Cacilhas_Uteis_Trip003","06:16:00","06:16:00",3,11
